Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,69.3156097560976,71.2463414634146,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269,76.0634146341464,75.8170731707317,76.0658536585366,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,78.0363414634146,79.6536585365854,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268,82.2048780487805,82.6609756097561,82.8609756097561,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,57.865,62.505,67.13,67.545,67.931,68.286,68.607,68.897,69.165,69.416,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,62.32,65.772,69.542,69.866,70.179,70.481,70.768,71.035,71.282,71.509,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,63.837,70.176,74.352,74.776,75.162,75.502,75.796,76.047,76.271,76.479,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,66.011,69.082,68.848,69.148,69.437,69.7,69.929,70.122,70.294,70.454,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,74.8090975609756,76.5365853658537,80.7463414634146,80.8463414634146,80.9487804878049,81.3487804878049,81.4536585365854,81.6536585365854,82.1560975609756,82.2560975609756,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,76.6073170731707,78.9536585365854,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951,82.8024390243903,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,76.9707317073171,79.7780487804878,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,73.204,74.142,74.012,74.001,74.01,74.042,74.098,74.175,74.267,74.368,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,78.8368292682927,81.0760975609756,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,69.872,71.73,73.581,73.722,73.851,73.969,74.078,74.184,74.292,74.405,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,68.3365853658537,65.5170731707317,68.98,69.61,70.45,71.62,72,72.3,72.95,73.15,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,57.406,50.921,61.851,62.659,63.419,64.135,64.798,65.393,65.909,66.342,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,59.636,63.144,66.072,66.381,66.69,66.995,67.291,67.577,67.851,68.116,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People’s Rep.",PRK,69.896,65.268,70.012,70.454,70.853,71.198,71.481,71.711,71.91,72.095,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,71.5975609756098,75.909756097561,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,67.7487804878049,67.9512195121951,70.1487804878049,70.4975609756098,70.7975609756098,71.0975609756098,71.3463414634146,71.6463414634146,71.9463414634146,72.1951219512195,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,72.15,73.142,74.55,74.728,74.885,75.019,75.13,75.224,75.311,75.398,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,68.2975609756098,68.5585365853659,69.6024390243903,70.0024390243902,70.2024390243902,70.4024390243902,70.6512195121951,70.9512195121951,71.2,71.4,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,53.364,58.803,64.797,65.267,65.717,66.144,66.546,66.924,67.277,67.61,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,69.2731707317073,70.3146341463415,73.5756097560976,73.7780487804878,73.9829268292683,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,70.266,74.507,78.507,78.611,78.683,78.732,78.768,78.8,78.833,78.875,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,59.837,47.691,46.207,47.416,48.663,49.891,51.038,52.059,52.947,53.705,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,46.046,51.734,60.146,60.663,61.186,61.723,62.269,62.802,63.295,63.73,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,68.503,70.852,71.956,71.901,71.907,71.981,72.121,72.311,72.52,72.724,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,..,76.8268292682927,81.7926829268293,82.3829268292683,82.2609756097561,82.0731707317073,82.6560975609756,82.2585365853659,83.7463414634147,83.0414634146342,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,71.1607317073171,72.0195121951219,73.5634146341464,73.8634146341464,73.9146341463415,74.5170731707317,74.3219512195122,74.6707317073171,75.4804878048781,75.6804878048781,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,75.0104146341463,77.8731707317073,80.9878048780488,81.3926829268293,81.8,82.2292682926829,82.2926829268293,82.6853658536585,82.0951219512195,82.2951219512195,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,77.296,80.407,82.938,83.158,83.361,83.543,83.707,83.854,83.989,84.118,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,51.003,58.485,63.836,64.28,64.713,65.133,65.539,65.931,66.311,66.681,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,46.096,45.09,57.161,58.629,59.931,61.042,61.953,62.681,63.279,63.798,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,70.865,72.594,74.683,74.877,75.072,75.268,75.461,75.649,75.828,75.997,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,61.529,70.173,76.293,76.664,77.018,77.36,77.691,78.013,78.325,78.627,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,45.746,48.069,55.701,56.135,56.578,57.036,57.509,57.987,58.452,58.893,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,76.7860731707317,78.3487804878049,80.7463414634146,80.7463414634146,81.7463414634146,82.0463414634146,81.8975609756098,82.4536585365854,82.3463414634146,82.4487804878049,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,65.2390243902439,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,59.688,60.706,62.799,63.079,63.366,63.654,63.936,64.208,64.464,64.704,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,69.4048780487805,71.6634146341463,73.2668292682927,73.8634146341464,74.0170731707317,74.1943902439024,74.3531707317073,74.3948780487805,74.5146341463415,74.4163414634146,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,70.866,74.34,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,63.605,64.55,66.646,66.817,66.986,67.152,67.315,67.471,67.618,67.755,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,67.643,67.006,70.119,70.581,70.968,71.267,71.478,71.617,71.717,71.808,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,60.268,62.869,67.818,68.217,68.566,68.863,69.111,69.321,69.509,69.689,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,74.627,73.228,75.505,75.823,76.089,76.297,76.452,76.568,76.667,76.77,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,64.732,68.684,74.696,74.97,75.227,75.477,75.726,75.974,76.218,76.453,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,45.261,48.946,53.043,53.931,54.949,56.062,57.206,58.309,59.309,60.163,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,56.849,60.063,63.983,64.453,64.921,65.378,65.81,66.205,66.558,66.867,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,61.608,52.192,58.085,59.387,60.513,61.425,62.119,62.625,63.021,63.373,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,54.404,62.288,68.028,68.426,68.806,69.168,69.515,69.848,70.169,70.478,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,76.8780487804878,77.9878048780488,81.2048780487805,81.1048780487805,81.3048780487805,81.7073170731707,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,70.4853658536586,75.1634146341463,76.6468353787517,77.0690703645998,77.1762108738893,77.2528725957226,77.2443035079364,76.9615007371216,77.1487804878049,77.1487804878049,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,75.3780487804878,78.6365853658537,80.9048780487805,81.1560975609756,81.4073170731707,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659,81.8585365853659,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,64.293,69.527,72.692,72.951,73.197,73.429,73.649,73.86,74.068,74.275,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,43.538,49.928,58.081,58.79,59.455,60.07,60.631,61.137,61.599,62.024,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,45.9,46.267,51.346,51.786,52.228,52.672,53.112,53.541,53.95,54.332,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,71.152,73.267,74.846,75.019,75.171,75.299,75.406,75.498,75.589,75.688,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,76.5373170731707,78.6341463414634,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,..,..
